Column1;Column2;Column3
tokens_stemmed;label_lexicon;label_prediksi
tani milenial merauke raup dapat juta;positif;positif
kunjung tan marauke tumbuh semangat tani muda milenial tan;positif;negatif
petrokimia gresik pahlawan super tani tuju paham butuh tani bawang putih karyawan milenial gali aspirasi kampanye pupu imbang lanjut;negatif;negatif
tri didik kena efisiensi ngaco dpr polisi tni efisiensi oh iya alat gebuk masyarakat tetep iya gais;negatif;positif
outdoorstage indoorstage oke adu gagas debat solusi oke anak milenial genz manula difabel emak tani nelayan anak sekolah mhsw nakes kalang perhati religius santun nomor korupsi pancasila uud pilih;positif;negatif
sobatani ratus tani muda gabung konsolidasi nasional duta tani milenialduta tani andal barubaru nobat wakil menteri tani bina tani milenial;positif;positif
daftar tani milenial harap nambah wawas tahu relasi daftar program yess susah buka websitenya;negatif;negatif
tani milenial raup cuan rp juta jelas tan;positif;positif
sejahtera tani indonesia capai otomatis regenerasi tani selesai kaum generasi muda betapa cerah karir sektor tani generasi muda kaum milenial bondong terjun dunia tani;negatif;negatif
aduh blitar kecil gerak anak muda tani milenial eh si opung impor tani aduh opung istirahat kerja sifat visioner;negatif;negatif
tax planning orang indo mah lihat jepang kurang pajak gara beli beras tani cianjur langsung detilnya;negatif;negatif
cba ajar pikir kritis sebab inflasi oh sebab presiden pucuk kuasa tinggi solusi cipta tani milenial;positif;positif
kolaborasi tan kemnaker tingkat kualitas tani milenial tani modern;positif;positif
milenial petrokimia gresik cari solusi masalahmasalah pengaruh produktivitas sejahtera tani;positif;positif
iseng daftar tani milenial pas milih latih pilih yaa serius si;negatif;negatif
tani milenial zaman digital simak ulas lengkap tabloid kontan edisi maret;positif;positif
mantap tani milenial gaji juta daftar;positif;positif
tips optimalisasi marketplace tani milenial ejsc malang;negatif;positif
hadir karyawan milenial petrokimia gresik tuju paham butuh tani bawang putih cari solusi pengaruh produktivitas sejahtera tani;negatif;negatif
kerja tani milenial tan pura pura impor;positif;positif
karyawan milenial petrokimia gresik hadir tani gali aspirasi kampanye pupu imbang komitmen cipta tani lanjut;positif;positif
tani muda milenial mati terjun budidaya kopi tanam organikhidroponik terna tinggi kambingdomba kelinci komunitas forum nama maf millenial agriculture forum;negatif;negatif
semangat tani milenial maju tani indonesia wujud swasembada pangan jadi indonesia lumbung pangan dunia;positif;positif
tanam kebun kelapa durian alpukat mangga lengkeng butuh anggar rp miliar kait teknis papar langsung lokasi;negatif;negatif
sinergi polda diy dpkp tani milenial wujud tahan swasembada pangan;positif;positif
urus member jakarta serah ci shani melody duta tani milenial wkwkkwkwkw;negatif;positif
tani milenial mumpuni dukung mekanik kemnaker;positif;positif
tani milenial tampil percaya teknologi modern berkat program unggul tan kemnaker;positif;positif
tani ternak milenial kudus hasil janji fraksi gerindra upaya;positif;positif
sobatani tan amran bangga tuntas optimasi lahan tertawa merauke papua selatanmentan amran optimis jadi wilayah laboratorium raksasa tani indonesia amp tekan kuat lembaga tani milenial;positif;positif
rangkul milenial tani tan alsintan modern;positif;positif
temu harga lapang timbang bisnis petrokimia gresik solusi dampak positif produktivitas sejahtera tani libat karyawan milenial kuat posisi usaha;positif;positif
wujud nyata program tani milenial latih generasi muda fokus bidang tani;positif;positif
wakil menteri tani wamentan sudaryono kuat kolaborasi utus khusus presiden bidang bina generasi muda laku seni raffi ahmad dorong regenerasi tani milenial;negatif;negatif
karyawan milenial petrokimia gresik usaha solusi agroindustri hadir tani gali aspirasi kampanye petrokimia gresik;positif;positif
link daftar tani milenial menteri tani siap gaji rp juta;positif;positif
kayak benci amet sm pks;negatif;positif
gaji rp juta daftar tani milenial program menteri tani;positif;positif
murah produk tani tarik minat milenial marginnta setip rambut belah tujuh;positif;positif
tani milenial merauke raup dapat juta;positif;positif
iya kali ngalap berkahkasian;positif;positif
iya tani milenial;positif;positif
tan kemnaker rapat baris tingkat kompetensi tani milenial lapang;positif;positif
dinas tanam pangan hortikultura kabupaten jayapura dinas lingkung hidup kabupaten jayapura fasilitator damping teknis tani milenial papua mulyono komandan landas udara silas papare laksana program tahan pangan agro wisata edukasi;negatif;negatif
jual lici live streaming ala tani milenial zhengcheng;positif;positif
daftar tani milenial syarat prosedur fasilitas tarik generasi muda via;negatif;negatif
padu padan tan kemnaker dorong tani milenial kuasa teknik tani modern dukung mekanik mumpuni;positif;positif
ajar besar ajar konsisten tani milenial amp realistis fokus tuju jangka nikmat proses hasil takut gagal ajar lengkap thread;positif;negatif
tani milenial warna beli mana;negatif;negatif
tani milenial lulus s pertaniaj ngonten sosmed cerita proses budidaya edukasi konsumen pelan brand buka market gantung tebas kejam;negatif;positif
kartu tani daftar tani milenial;negatif;negatif
jadi kayak tani milenial lilit hutang garagara program gimiknya kang emil jalan susah bikin program setengahsetengah solusi bikin parah;negatif;negatif
daftar tani milenial alamat sulawesi kabupaten sigi camat sigi biromaru pilih nama desa desa sigi biromaru mohon koreksi data;negatif;negatif
jujur semenjak coretax resign tani milenial tambah;positif;positif
semangat tani milenial tingkat ekonomi pasar produk tani;positif;positif
gagal gubernur dki gubernur sukamiskin ridwan kamil skandal dana tani milenial masjid aljabar gede bage program fiktif pdp purwakarta;positif;positif
tani milenial gaji rp juta gagas tan;positif;positif
tara ulin kakak sawah dijadikeun duta tani milenial sieun bising aya oray lieur mah;positif;positif
mitra strategis tan kemnaker hadir latih mekanik tani milenial;negatif;positif
bantu tan tni sentuh tani milenial;negatif;negatif
jatu berjejaring global tani milenial oleh tahu teknologi terap indonesia tingkat produktivitas efisiensi produksi tani;positif;positif
tingkat produktivitas tani sekda jateng dorong tani milenial inovasi;positif;positif
langkah cerdas tan kemnaker optimal potensi tani milenial kuasa alat canggih berkat bimbing instruktur ulung;positif;positif
pilih agroteknologi pilih suka jurus banding jurus saintek diunpad pilih prospek gede banget momentum tani milenial digembargemborkan;positif;negatif
sobatani tani milenial brigade pangan programprogram unggul menteri tani libat anak muda terjun sektor tani simak spill the tea with mintani biar roaming tani;negatif;negatif
tuju banget mewalik duta tani milenial;positif;positif
gila tani milenial merauke raup cuan rp juta;positif;positif
si anying nyentuh hidup tani ujug duta tani milenial taaiiiiii noh konten kreator tan rumah tiktok isi otaknua mumpuni banding mesin cuci;negatif;negatif
tambah imez tani kaya kasta banget indonesia pemudahmilenialgen z nenteng cangkul sawah bajak sawahini barang langka indonesia salah satu hasil padi;negatif;negatif
wakil direksi vice president komunikasi korporat petrokimia gresik rama yusron h hadir karyawan milenial ei squad tawangmangu tuju paham butuh tani bawang putih;negatif;negatif
senyum tani milenial;positif;positif
power rangers langsung daftar tani milenial hasil juta;positif;positif
gilir hak tani tambah nyinyirin wajar generasi muda milenial jarang tani mitra negara ubtuk alih tehnologi tani dinyinyirin;negatif;negatif
karyawan milenial petrokimia gresik usaha solusi agroindustri hadir tani gali aspirasi kampanye pupu;positif;positif
wakil menteri tani sudaryono nobat bina tani milenial nobat konsolidasi nasional tani milenial hadir tani muda kota semarang jawa sabtu november;negatif;positif
perintah bentuk brigade pangan tani milenial aksi teknologi tangan hasil panen limpah;positif;positif
strategi sukses tani milenial hitung cost amp potensi profit diversifikasi hasil panen kurang risiko fokus pasar margin manfaatin teknologi amp ecommerce akses luas tan tahan kembang;positif;positif
perintah rogoh rp triliun modal tani milenial gen z baca;negatif;positif
tan berfikir sejahtera tani milenial tarik tan;positif;positif
tani murah loh jual pasar mehong oiiii gen z and milenialback to kampung kantor harga pangan mah;positif;positif
wo milenial gengsi;positif;positif
smoga allah hidayah doadoa rakyat terzolimi dai kyai guru tani nelayan milenial ubah rakyat aamiin iya mujibassailin;positif;positif
vice president vp komunikasi korporat petrokimia gresik rama yusron harbiansyah wakil direksi hadir karyawan milenial employee influencer ei bantu tani bawang putih;negatif;negatif
min daftar tani milenial tutup;negatif;negatif
tani milenial gaji rp juta harap tantang;negatif;negatif
tan kemnaker bukti sinergi kuat siap tani milenial bidang tani modern;positif;positif
langkah inspiratif tani milenial tani indonesia;positif;positif
mari berani mimpi amp tumbuh harap bagi tips tan mula strategi bangun konsistensi peluang tan generasi milenial klik follow amp jalan tani milenial;negatif;positif
buka daftar tani milenial estimasi hasil rp juta informasi lengkap;positif;positif
harap cipta ekosistem kondusif tani milenial kembang usaha tani sukses regenerasi tani reborn jargon tinggal desa kembang desa rezeki kota bisnis dunia;positif;positif
milenial petrokimia gresik cari solusi masalahmasalah pengaruh produktivitas sejahtera tani;positif;positif
solusi modal tani milenial integral transformasi tani era perintah;positif;positif
tahu teman tani usia danatau tani adaptif teknologi digital tani milenial total indonesia lho;positif;positif
ancam krisis pangan landa dunia akibat ubah iklim peran tani milenial manfaat teknologi kunci indonesia jaga tahan pangan nasional;negatif;negatif
gubernur jabar rk lepas kontroversi salah serang arah rk program tani milenial bekerjasama bank bjb ribut sosmed detilnya tahu beres citra rk pulih;negatif;negatif
tuju utama bentuk program tingkat minat kaum milenial pilih tani profesi utama;positif;negatif
bangun bangsa tani tan keren tani milenial top;positif;positif
tani milenial hebat operasional alat tani modern;positif;positif
dororng minat tan pwi pemkab rembang gelar sarasehan tani milenial informasi lengkap;positif;positif
anak muda pikir tani tinggal sebab regenarasi tani indonesia turun negara agraris turut pungs;negatif;negatif
daftar tani milenial desa daftar tani milenial kelompok tani bagaimn daftar penltani milenial;negatif;negatif
tan peluang tani milenial tanggung kembang melon korea baca lengkap klik;positif;positif
daftar program tani milenial tan gaji rp juta simak syarat daftar link daftar lengkap;negatif;negatif
fasilitas sarana produksi regenerasi tani giat bantu sarana produksi pupuk alat tani milenial regenerasi tani;positif;positif
coba lihat deh lahan tani bekas bikin rumah brrti kgk hasil tani tambah gandeng orang background tani narik gen milenial;positif;positif
generasi milenial milik daya ledak cipta kembang kawasan kabupaten purbalingga;negatif;positif
kene tani milenial semangat ae budal masio mari panen ton jeruk bayar;positif;positif
acara tani milenial serta muda muda bisnis jalan jual alatalatnyahidroponik main tanam hias dijabarin kait marketing amp jual produk pasar batas solusi gtgt suruh sharing;positif;negatif
karyawan milenial petrokimia gresik tani gali aspirasi kampanye pupu imbang komitmen cipta tani lanjut;positif;positif
akselerasi damping nilai tani milenial;positif;positif
rp juta bulan tani milenial cek syarat daftar;negatif;negatif
kompeten ceramah jam kaum milenial bondong bondong tani bklan kampung tani paksa;negatif;positif
beliau hadir karyawan milenial ei squad petrokimia gresik tawangmangu tuju paham butuh tani bawang putih;negatif;negatif
jelang pilih kepala daerah indramayu kelompok tani milenial aku kerja nina agustina;negatif;negatif
desa wisata paksa semena bangkit tani milenialciptakan desa wisata;negatif;positif
keren jt hektar sawah rekrut milenial tani;positif;positif
jalur swasembada pangan buka lebar kolaborasi tan kemnaker latih intensifikasi tani milenial prioritas;negatif;positif
giat sambut apresiasi dukung semangat kaderisasi tani milenial tebu arief nursusanto direktur pt pg candi eni rustianingsih kepala dinas pangan tani sidoarjo;positif;positif
syarat daftar usia maksimal tani milenial jateng dapat rp juta;positif;positif
milenial pikir noh raffi ahmad tani milenial;negatif;positif
moga program yess optimal tani milenial sayang manfaat duit sasar;positif;positif
halo ikhtiar cetak tani milenial kali yess programme serta young ambassador agriculture audiensi bupati cianjur;positif;positif
kamis rutomo nurhadi luhkan kbb koordin regenerasi tani milenial olah produk ikan poklahsar pindang raja i ds mandalamukti camat cikalongwetan;positif;positif
wamentan sudaryono dorong tani milenial tembus pasar ekspor see this instagram video by lengkap;positif;positif
milenial petrokimia gresik cari solusi masalahmasalah pengaruh produktivitas sejahtera tani;positif;positif
ambil langkah karier janji tani milenial dapat gaji minimal rp juta dukung teknologi canggih tan baca langkah mudah daftar;positif;positif
really misterius tertawa senang semangat anak muda lirik agrobisnis asyik iya teman tani milenial bantu moga mrk kembang;positif;positif
tuju program tani milenial buka gaji rp juta syarat via;positif;positif
fasilitas alsintan rp miliar tan janji gaji tani milenial rp juta via;positif;positif
selasa bisri m luhkan kabupaten subang hadir keg prog regenerasi tani milenial th wilayah utara jawa barat bertmpt uptd ikan air payau laut wilayah utara;negatif;positif
yahh angkat duta tani milenial;positif;positif
harga panen murah bawah harga benih milenial tani baik hidup tani dapat tani otomatis anak muda turun tani;positif;negatif
tan kemnaker hadir solusi tantang tani tani milenial siap hadap modernisasi;negatif;negatif
mantap lahan kelola lahan keluarga juragan cengkeh juragan sapi juragan kambing gambar sungguh tani milenial;negatif;positif
kolaborasi tan kemnaker kuat tani tani milenial handal berkat bimbing instruktur mekanik terampil;positif;positif
karyawan milenial petrokimia gresik hadir tani gali aspirasi kampanye pupu imbang komitmen cipta tani lanjut;positif;positif
mantap program yes tani milenial moga optimal;positif;positif
kerja tan kemnaker bawa inovasi tani tani milenial jago teknologi arah mekanik hebat;positif;positif
tani generasi milenial;negatif;negatif
sobat tani milenial;positif;positif
zulhas ajak milenial tani janji kasih bibit latih;positif;positif
kolaborasi tan kemnaker tuai hasil tani milenial kian terampil alat canggih;positif;positif
smart farming cocok tani milenial akrab teknologi;positif;positif
bi ntt gelar workshop tema ampldquopanen cakepamprdquo ajak kaum milenial tani modern keren;positif;positif
tani milenial kebun;negatif;negatif
liter pupuk organik cair tani nganjuk pasang wujud visi program sambang tani fokus tani lanjut latih amp koperasi tani digital dukung tani milenial;positif;positif
profesi tani giur milenial;positif;positif
wamentan sudaryono bina tani milenial;positif;positif
tani milenial risau hadap era modernisasi tani berkat kerja bareng tan kemnaker sedia instruktur andal;positif;positif
tani milenial pusat perhati ahli hasil kolaborasi tan kemnaker;positif;positif
kerja lintas sektor tani milenial kunci sukses wujud swasembada pangan;positif;positif
komitmen tan kemnaker bangun tani arah modernisasi dukung tani milenial latih mekanik ulung;positif;positif
tan kemnaker melaunching program latih tani milenial mahir alat modern;positif;positif
kaum milenial ajak tani orang erti tani rasa hidup lingkung tani tolol an lihat;negatif;negatif
tani milenial hasil rp juta rinciannya;positif;positif
kerjasama tan kemnaker pasti tani milenial kompetisi era modern dukung mekanik andal tulang punggung;positif;positif
bangun fafifu iya ges iya baca puluh artikel tani milenial bilang program bagus pusing;negatif;positif
hutan stakholder gelar workshop tani milenial wisata langlang panyawangan;positif;positif
milenial petrokimia gresik cari solusi masalahmasalah pengaruh produktivitas sejahtera tani;positif;positif
brigade swasembada pangan tani milenial kuat tahan pangan nasional;negatif;positif
milenial petrokimia gresik cari solusi masalahmasalah pengaruh produktivitas sejahtera tani;positif;positif
tani milenial hebat tani indonesia kuat;negatif;positif
menteri tani tan dorong anak muda indonesia tarik tani milenial modernisasi tani milen;negatif;negatif
kota jelek iya berat bupatiwalkot nya kerja aku tani milenial gadang program unggul audah ngalor ngidul mana tertawa;negatif;positif
kolaborasi tan kemnaker cipta tani milenial mampu mekanik hadap era tani modern;positif;positif
seru ajar hidroponik bareng bri peduli sdn karangrejek ayo tanam sayur tani milenial;positif;positif
tahan pangan nasional mari cipta petanipetani milenial kompak hebat semarangutara;positif;positif
wakil menteri tani sudaryono ajak tani milenial banyuwangi cepat swasembada pangan dukung fasilitas perintah banyuwangi potensi kembang komoditas padi jagung kuat tahan pangan nasional;positif;positif
alumni program tani milenial angkat ii inisiatif bentuk kelompok tani harap kopi hasil olah produk memilki nilai;positif;positif
warga jateng butuh teman juragan tani butuh sahabat teman curah hati jabat luknt generasi milenial gen z butuh motivator diktator andikahendi nov coblos nomor;negatif;negatif
maksud tani milenial adapaling hitung pakai jempol;positif;positif
tani milenial bawa ubah teknologi hasil kolaborasi cerdas tan kemnaker;positif;positif
bang debat perintah paham anggar didik kena efisiensi sedikit;negatif;positif
video gaet tani milenial andika insentif luthfi tani gaji;positif;positif
tani gaji pns gaji usaha atas ada alsintan sesuai butuh latih tani milenial sasar rantai distribusi pendek dapat tingkat;negatif;negatif
insentif peluang tani milenial;positif;positif
loh iya tani milenial;positif;positif
dukung bu khofifah tani milenial langkah pangan;positif;positif
yah jabar prestasi keluarin coba tongolin program tani milenial nya sukses dar program kasi lapor rakyat capai nya enak suara sukses;positif;positif
